Chr	Start	End	Gene
chr1	114280701	114280732	PHTF1
chr1	115251150	115251280	NRAS
chr1	115252184	115252354	NRAS
chr1	115256415	115256604	NRAS
chr1	115258665	115258786	NRAS
chr1	117142515	117142546	chr1:117.1Mb
chr1	120057142	120057173	HSD3B1
chr1	120387104	120387135	NBPF7
chr1	144617103	144617134	chr1:144.6Mb
chr1	147087705	147087736	chr1:147.1Mb
chr1	150199107	150199138	ANP32E
chr1	153004762	153004793	chr1:153.0Mb
chr1	155870173	155870414	RIT1
chr1	155874096	155874298	RIT1
chr1	155874516	155874600	RIT1
chr1	155880235	155880302	RIT1
chr1	155880441	155880600	RIT1
chr1	155880663	155880681	RIT1
chr1	156011428	156011459	UBQLN4
chr1	156785616	156785672	NTRK1
chr1	156811867	156811990	INSRR;NTRK1
chr1	156830643	156830943	NTRK1
chr1	156834140	156834225	NTRK1
chr1	156834514	156834596	NTRK1
chr1	156836696	156836775	NTRK1
chr1	156836790	156836830	chr1:156.8Mb
chr1	156837890	156838046	NTRK1
chr1	156838291	156838444	NTRK1
chr1	156841409	156841552	NTRK1
chr1	156843419	156843756	NTRK1
chr1	156844169	156844197	NTRK1
chr1	156844357	156844423	NTRK1
chr1	156844692	156844805	NTRK1
chr1	156845306	156845463	NTRK1
chr1	156845857	156846007	NTRK1
chr1	156846186	156846369	NTRK1
chr1	156848908	156849159	NTRK1
chr1	156849785	156849954	NTRK1
chr1	156851243	156851439	NTRK1
chr1	159175338	159175369	DARC
chr1	161284190	161284220	SDHC
chr1	161293398	161293465	SDHC
chr1	161298180	161298292	SDHC
chr1	161310378	161310450	SDHC
chr1	161326461	161326635	SDHC
chr1	161332113	161332335	C1orf192;SDHC
chr1	162313719	162313750	NOS1AP
chr1	162688821	162688940	DDR2
chr1	162688989	162689009	DDR2
chr1	162722879	162722992	DDR2
chr1	162724408	162724650	DDR2
chr1	162724940	162725098	DDR2
chr1	162725448	162725564	DDR2
chr1	162729580	162729774	DDR2
chr1	162730995	162731249	DDR2
chr1	162735785	162735858	DDR2
chr1	162737013	162737154	DDR2
chr1	162740086	162740307	DDR2
chr1	162741808	162742042	DDR2
chr1	162743253	162743391	DDR2
chr1	162745436	162745638	DDR2
chr1	162745920	162746165	DDR2
chr1	162748364	162748524	DDR2
chr1	162749896	162750041	DDR2
chr1	167059446	167059477	chr1:167.1Mb
chr1	168200717	168200748	chr1:168.2Mb
chr1	171077182	171077213	chr1:171.1Mb
chr1	175046773	175046804	TNN
chr1	177901725	177901756	chr1:177.9Mb
chr1	180059795	180059826	chr1:180.1Mb
chr1	183072574	183072605	LAMC1
chr1	186026458	186026489	HMCN1
chr1	192335255	192335286	RGS21
chr1	196682931	196682962	CFH
chr1	200182648	200182679	chr1:200.2Mb
chr1	201047059	201047090	CACNA1S
chr1	204198193	204198224	PLEKHA6
chr1	204494450	204494479	MDM4
chr1	204494606	204494729	MDM4
chr1	204494741	204494785	chr1:204.5Mb
chr1	204495482	204495567	MDM4
chr1	204499806	204499950	MDM4
chr1	204501313	204501379	MDM4
chr1	204506552	204506630	MDM4
chr1	204507331	204507441	MDM4
chr1	204511906	204512077	MDM4
chr1	204513657	204513817	MDM4
chr1	204515919	204516010	MDM4
chr1	204518235	204518815	MDM4
chr1	207110920	207110951	PIGR
chr1	210406924	210406955	chr1:210.4Mb
chr1	213032552	213032583	chr1:213.0Mb
chr1	216172364	216172395	USH2A
chr1	219706412	219706443	chr1:219.7Mb
chr1	222705254	222705285	chr1:222.7Mb
chr1	225528167	225528198	DNAH14
chr1	226252119	226252172	H3F3A
chr1	228112105	228112136	chr1:228.1Mb
chr1	231042716	231042747	TTC13
chr1	231502151	231502226	EGLN1
chr1	231503309	231503387	EGLN1
chr1	231506302	231506449	EGLN1
chr1	231509720	231509850	EGLN1
chr1	231556738	231557639	EGLN1
chr1	234041406	234041437	SLC35F3
chr1	237057592	237057623	chr1:237.1Mb
chr1	240256806	240256837	FMN2
chr1	241661122	241661275	FH
chr1	241663731	241663895	FH
chr1	241665737	241665875	FH
chr1	241667336	241667550	FH
chr1	241669297	241669473	FH
chr1	241671897	241672090	FH
chr1	241675261	241675448	FH
chr1	241676897	241677018	FH
chr1	241680476	241680621	FH
chr1	241682885	241683027	FH
chr1	243419413	243419444	SDCCAG8
chr1	243858999	243859031	AKT3
chr1	246021925	246021956	SMYD3
chr1	249110890	249110921	chr1:249.1Mb
chr10	329172	329203	chr10:0.3Mb
chr10	3146164	3146195	chr10:3.1Mb
chr10	6001680	6001711	chr10:6.0Mb
chr10	8097613	8097864	GATA3
chr10	8100262	8100809	GATA3
chr10	8105950	8106106	GATA3
chr10	8111430	8111566	GATA3
chr10	8115696	8115991	GATA3
chr10	11316971	11317002	chr10:11.3Mb
chr10	12123650	12123681	chr10:12.1Mb
chr10	15106425	15106456	OLAH
chr10	18266767	18266798	chr10:18.3Mb
chr10	21104678	21104709	chr10:21.1Mb
chr10	24889885	24889916	chr10:24.9Mb
chr10	27368110	27368141	chr10:27.4Mb
chr10	30317810	30317841	KIAA1462
chr10	33495290	33495321	chr10:33.5Mb
chr10	36812346	36812377	chr10:36.8Mb
chr10	38682063	38682094	chr10:38.7Mb
chr10	42907185	42907216	CCNYL2
chr10	43609920	43609965	RET
chr10	43617400	43617432	RET
chr10	45496104	45496135	C10orf25;ZNF22
chr10	48426797	48426798	chr10:48.4Mb
chr10	51568362	51568393	NCOA4
chr10	54050063	54050094	chr10:54.1Mb
chr10	58118614	58118645	ZWINT
chr10	60273105	60273136	chr10:60.3Mb
chr10	63699879	63699910	chr10:63.7Mb
chr10	68040309	68040340	CTNNA3
chr10	69651109	69651140	chr10:69.7Mb
chr10	72179730	72179761	EIF4EBP2
chr10	75532832	75532895	chr10:75.5Mb
chr10	78778718	78778749	chr10:78.8Mb
chr10	81045191	81045222	chr10:81.0Mb
chr10	85960379	85960410	CDHR1
chr10	88024537	88024568	MIR346
chr10	89419733	89419770	PAPSS2
chr10	89430320	89430373	chr10:89.4Mb
chr10	89601579	89601646	chr10:89.6Mb
chr10	89624221	89624310	KLLN;LOC101929706;PTEN
chr10	89653776	89653871	PTEN
chr10	89679276	89679322	chr10:89.7Mb
chr10	89685264	89685319	PTEN
chr10	89690797	89690851	PTEN
chr10	89692764	89693013	PTEN
chr10	89711869	89712021	PTEN
chr10	89717604	89717781	PTEN
chr10	89720645	89720880	PTEN
chr10	89725038	89725234	PTEN
chr10	89991691	89991738	chr10:90.0Mb
chr10	90342821	90342852	RNLS
chr10	93000195	93000226	chr10:93.0Mb
chr10	95188309	95188382	chr10:95.2Mb
chr10	96014606	96014637	chr10:96.0Mb
chr10	99019128	99019159	ARHGAP19
chr10	102016252	102016283	chr10:102.0Mb
chr10	104263904	104264096	SUFU
chr10	104268920	104269065	SUFU
chr10	104309721	104309868	SUFU
chr10	104352333	104352486	SUFU
chr10	104353387	104353483	SUFU
chr10	104353744	104353827	SUFU
chr10	104356888	104357055	SUFU
chr10	104359184	104359306	SUFU
chr10	104375019	104375164	SUFU
chr10	104377041	104377190	SUFU
chr10	104378817	104378833	SUFU
chr10	104386926	104387005	SUFU
chr10	104389817	104389917	SUFU
chr10	105108439	105108470	chr10:105.1Mb
chr10	106970832	106970864	chr10:107.0Mb
chr10	111646131	111646162	chr10:111.6Mb
chr10	114053530	114053561	TECTB
chr10	117228778	117228809	ATRNL1
chr10	120070411	120070442	FAM204A
chr10	123239089	123239189	FGFR2
chr10	123239365	123239540	FGFR2
chr10	123241680	123241696	FGFR2
chr10	123243181	123243322	FGFR2
chr10	123244903	123245051	FGFR2
chr10	123246862	123246943	FGFR2
chr10	123247499	123247632	FGFR2
chr10	123256040	123256241	FGFR2
chr10	123258003	123258124	FGFR2
chr10	123260334	123260466	FGFR2
chr10	123263298	123263460	FGFR2
chr10	123274625	123274838	FGFR2
chr10	123276827	123276982	FGFR2
chr10	123278190	123278348	FGFR2
chr10	123279487	123279688	FGFR2
chr10	123298100	123298234	FGFR2
chr10	123310798	123310978	FGFR2
chr10	123324010	123324098	FGFR2
chr10	123324946	123325223	FGFR2
chr10	123353217	123353336	FGFR2
chr10	126089418	126089449	OAT
chr10	129046391	129046422	chr10:129.0Mb
chr10	133607876	133607907	FLJ46300
chr10	135000132	135000163	KNDC1
chr11	308298	308329	IFITM2
chr11	532583	532760	HRAS;LOC101059906
chr11	533290	533363	HRAS
chr11	533447	533617	HRAS
chr11	533760	533949	HRAS
chr11	534206	534327	HRAS
chr11	3050194	3050225	chr11:3.1Mb
chr11	6129821	6129852	OR56B4
chr11	9072124	9072155	SCUBE2
chr11	12315170	12315201	MICALCL
chr11	16133397	16133428	SOX6
chr11	17741324	17741964	MYOD1
chr11	17742443	17742532	MYOD1
chr11	17742796	17743060	MYOD1
chr11	18210564	18210595	chr11:18.2Mb
chr11	22271854	22271885	ANO5
chr11	22646226	22647361	FANCF
chr11	24750826	24750857	LUZP2
chr11	28134958	28134989	METTL15
chr11	30253625	30253656	chr11:30.3Mb
chr11	33631407	33631438	KIAA1549L
chr11	36057610	36057641	chr11:36.1Mb
chr11	40137527	40137558	LRRC4C
chr11	43964826	43964857	C11orf96
chr11	45832919	45832950	SLC35C1
chr11	48145231	48145262	PTPRJ
chr11	51515984	51516015	OR4C46
chr11	55111222	55111253	OR4A16
chr11	57003330	57004483	APLNR
chr11	60050109	60050140	MS4A4A
chr11	61197613	61197659	SDHAF2
chr11	61204394	61204437	SDHAF2
chr11	61205091	61205325	SDHAF2
chr11	61205470	61205590	SDHAF2
chr11	61213407	61213548	SDHAF2
chr11	63057909	63057940	SLC22A10
chr11	64571800	64572293	MEN1
chr11	64572500	64572675	MEN1
chr11	64573101	64573247	MEN1
chr11	64573698	64573845	MEN1
chr11	64574477	64574575	MEN1
chr11	64574645	64574696	MEN1
chr11	64575018	64575157	MEN1
chr11	64575357	64575576	MEN1
chr11	64577116	64577586	MEN1
chr11	66033285	66033316	chr11:66.0Mb
chr11	69456076	69456284	CCND1
chr11	69457793	69458019	CCND1
chr11	69458594	69458764	CCND1
chr11	69462756	69462925	CCND1
chr11	69465857	69466055	CCND1
chr11	69514024	69514349	FGF19
chr11	69518023	69518137	FGF19
chr11	69518407	69518649	FGF19
chr11	69588071	69588258	FGF4
chr11	69588786	69588900	FGF4
chr11	69589507	69589857	FGF4
chr11	69625067	69625473	FGF3
chr11	69631082	69631196	FGF3
chr11	69633476	69633706	FGF3
chr11	72288634	72288666	PDE2A
chr11	75023077	75023108	ARRB1
chr11	76157977	76158057	C11orf30
chr11	76162896	76163006	C11orf30
chr11	76164352	76164437	C11orf30
chr11	76165787	76165839	C11orf30
chr11	76169221	76169407	C11orf30
chr11	76170971	76171134	C11orf30
chr11	76174859	76175129	C11orf30
chr11	76183602	76183889	C11orf30
chr11	76207253	76207518	C11orf30
chr11	76224424	76224584	C11orf30
chr11	76227180	76227361	C11orf30
chr11	76234193	76234340	C11orf30
chr11	76237500	76237684	C11orf30
chr11	76239306	76239515	C11orf30
chr11	76246933	76247108	C11orf30
chr11	76248833	76248999	C11orf30
chr11	76250637	76250689	C11orf30
chr11	76253254	76253416	C11orf30
chr11	76255297	76255871	C11orf30
chr11	76256835	76257346	C11orf30
chr11	76260990	76261195	C11orf30
chr11	78372520	78372551	TENM4
chr11	82443656	82443687	FAM181B
chr11	85418575	85418610	chr11:85.4Mb
chr11	87037549	87037580	TMEM135
chr11	92292602	92292633	chr11:92.3Mb
chr11	93463710	93463741	KIAA1731;SNORA25;SNORA32;TAF1D
chr11	94153285	94153362	MRE11A
chr11	94163071	94163157	MRE11A
chr11	94168992	94169070	MRE11A
chr11	94170337	94170406	MRE11A
chr11	94178970	94179064	MRE11A
chr11	94180379	94180609	MRE11A
chr11	94189436	94189509	MRE11A
chr11	94192568	94192752	MRE11A
chr11	94194096	94194207	MRE11A
chr11	94197273	94197410	MRE11A
chr11	94200973	94201064	MRE11A
chr11	94203631	94203813	MRE11A
chr11	94204734	94204930	MRE11A
chr11	94209449	94209574	MRE11A
chr11	94211895	94212047	MRE11A
chr11	94212834	94212956	MRE11A
chr11	94219084	94219255	MRE11A
chr11	94223993	94224136	MRE11A
chr11	94225802	94225841	MRE11A
chr11	94225942	94225972	MRE11A
chr11	96106645	96106676	chr11:96.1Mb
chr11	100830563	100830594	chr11:100.8Mb
chr11	101981574	101981905	YAP1
chr11	101984869	101985130	YAP1
chr11	102033181	102033307	YAP1
chr11	102056743	102056873	YAP1
chr11	102076618	102076822	YAP1
chr11	102080242	102080300	YAP1
chr11	102094347	102094488	YAP1
chr11	102098194	102098317	YAP1
chr11	102100427	102100676	YAP1
chr11	102477361	102477392	MMP20
chr11	107381749	107381780	ALKBH8
chr11	108043972	108044003	NPAT
chr11	108098346	108098428	ATM
chr11	108098497	108098620	ATM
chr11	108099899	108100055	ATM
chr11	108106391	108106566	ATM
chr11	108114674	108114850	ATM
chr11	108115509	108115758	ATM
chr11	108117685	108117859	ATM
chr11	108117882	108117922	chr11:108.1Mb
chr11	108119600	108119644	chr11:108.1Mb
chr11	108119654	108119834	ATM
chr11	108121422	108121804	ATM
chr11	108121831	108121873	chr11:108.1Mb
chr11	108122558	108122763	ATM
chr11	108123538	108123644	ATM
chr11	108124535	108124771	ATM
chr11	108126893	108126933	chr11:108.1Mb
chr11	108126936	108127072	ATM
chr11	108128202	108128338	ATM
chr11	108129707	108129807	ATM
chr11	108137892	108138074	ATM
chr11	108139131	108139341	ATM
chr11	108141785	108141878	ATM
chr11	108141940	108142138	ATM
chr11	108143253	108143339	ATM
chr11	108143443	108143584	ATM
chr11	108150212	108150340	ATM
chr11	108151716	108151900	ATM
chr11	108153431	108153611	ATM
chr11	108154948	108155205	ATM
chr11	108158321	108158447	ATM
chr11	108159698	108159835	ATM
chr11	108160323	108160533	ATM
chr11	108163340	108163525	ATM
chr11	108164034	108164209	ATM
chr11	108165648	108165791	ATM
chr11	108168008	108168114	ATM
chr11	108170435	108170617	ATM
chr11	108172369	108172521	ATM
chr11	108173574	108173761	ATM
chr11	108175396	108175584	ATM
chr11	108178618	108178716	ATM
chr11	108180881	108181047	ATM
chr11	108183132	108183230	ATM
chr11	108186544	108186643	ATM
chr11	108186732	108186845	ATM
chr11	108188094	108188253	ATM
chr11	108190675	108190790	ATM
chr11	108192022	108192152	ATM
chr11	108196031	108196276	ATM
chr11	108196697	108196742	chr11:108.2Mb
chr11	108196779	108196957	ATM
chr11	108198366	108198490	ATM
chr11	108199742	108199970	ATM
chr11	108200935	108201153	ATM
chr11	108202165	108202289	ATM;C11orf65
chr11	108202600	108202769	ATM
chr11	108203483	108203632	ATM
chr11	108204607	108204700	ATM
chr11	108205690	108205841	ATM
chr11	108206566	108206693	ATM
chr11	108213943	108214103	ATM
chr11	108216464	108216640	ATM
chr11	108218000	108218097	ATM
chr11	108224487	108224612	ATM
chr11	108225532	108225606	ATM
chr11	108235803	108235950	ATM
chr11	108236046	108236240	ATM
chr11	111179038	111179069	C11orf93
chr11	111957626	111957688	SDHD
chr11	111958575	111958702	SDHD
chr11	111959585	111959740	SDHD
chr11	111963798	111963926	SDHD
chr11	111965523	111965699	SDHD
chr11	114284629	114284660	chr11:114.3Mb
chr11	117100578	117100609	chr11:117.1Mb
chr11	120007873	120007904	chr11:120.0Mb
chr11	123065667	123065698	CLMP
chr11	125496658	125496733	CHEK1
chr11	125497496	125497730	CHEK1
chr11	125499121	125499196	CHEK1
chr11	125499280	125499360	CHEK1
chr11	125503052	125503251	CHEK1
chr11	125505318	125505433	CHEK1
chr11	125507338	125507444	CHEK1
chr11	125513681	125513800	CHEK1
chr11	125513980	125514168	CHEK1
chr11	125514401	125514543	CHEK1
chr11	125523635	125523747	CHEK1
chr11	125525114	125525220	CHEK1
chr11	126081387	126081418	RPUSD4
chr11	129312644	129312675	chr11:129.3Mb
chr11	132306137	132306168	chr11:132.3Mb
chr11	134856645	134856676	LOC100507548
chr12	248186	248217	IQSEC3;LOC574538
chr12	1022551	1022623	RAD52
chr12	1023054	1023292	RAD52
chr12	1023571	1023703	RAD52
chr12	1025504	1025706	RAD52
chr12	1025799	1025991	RAD52
chr12	1034610	1034696	RAD52
chr12	1035956	1036117	RAD52
chr12	1036305	1036434	RAD52
chr12	1038979	1039057	RAD52
chr12	1039211	1039315	RAD52
chr12	1040380	1040492	RAD52
chr12	1042135	1042229	RAD52
chr12	3047450	3047481	TULP3
chr12	4383201	4383406	CCND2
chr12	4385165	4385391	CCND2
chr12	4387920	4388090	CCND2
chr12	4394435	4394528	CCND2
chr12	4398002	4398161	CCND2
chr12	4409020	4409180	CCND2
chr12	6105371	6105402	VWF
chr12	6679836	6679864	CHD4
chr12	6680029	6680203	CHD4
chr12	6682234	6682440	CHD4
chr12	6686945	6687088	CHD4
chr12	6687189	6687308	CHD4
chr12	6687569	6687717	CHD4
chr12	6688006	6688088	CHD4
chr12	6690204	6690344	CHD4
chr12	6690451	6690559	CHD4
chr12	6690809	6690985	CHD4
chr12	6691297	6691452	CHD4
chr12	6691775	6691919	CHD4
chr12	6692008	6692107	CHD4
chr12	6692187	6692284	CHD4
chr12	6692358	6692549	CHD4
chr12	6696544	6696730	CHD4
chr12	6696872	6697120	CHD4
chr12	6697458	6697593	CHD4
chr12	6700626	6700754	CHD4
chr12	6700854	6700996	CHD4
chr12	6701076	6701228	CHD4
chr12	6701553	6701737	CHD4
chr12	6701856	6701988	CHD4
chr12	6702251	6702399	CHD4
chr12	6702576	6702787	CHD4
chr12	6703619	6703821	CHD4
chr12	6704494	6704601	CHD4
chr12	6705166	6705308	CHD4
chr12	6707054	6707270	CHD4
chr12	6707382	6707596	CHD4
chr12	6708933	6709183	CHD4
chr12	6709377	6709566	CHD4
